Day,Date,Status,Pillar,Slug,Title,Target Keyword,Category,Problem Ref,Framework Ref,Outline,CTA Heading,CTA Description,CTA Button
27,2026-05-03,pending,P5,dentista-medo-investir-marketing-como-superar,"Medo de Investir em Marketing? Como Dentistas Superam o Bloqueio",dentista medo investir marketing,Mentalidade,4. Financial Fears,"Kennedy Wealth Magnet 5: No Fear / Hormozi: reducing risk","O medo real: já tentei e não funcionou | Por que falhou | Marketing não é custo | 1 implante paga meses | Reduzir risco: garantias e testes | Histórias reais",Diagnóstico Sem Risco,Gratuito e sem compromisso. Sem risco para você.,Diagnóstico Gratuito
28,2026-05-04,pending,P1,landing-page-dentista-alta-conversao,"Landing Page Para Dentistas: Páginas Que Convertem 3x Mais",landing page dentista conversão,Conversão,2.5 No landing page,,"Landing page vs. site | Estrutura em 7 seções | Headline com resultado | Prova social | Como funciona | Benefícios | Depoimentos | FAQ | CTA final | Erros comuns",Landing Page Profissional,Criamos landing pages de alta conversão para cada especialidade.,Quero Landing Page
29,2026-05-05,pending,P2,agenda-caotica-dentista-como-organizar,"Agenda Caótica? Como Organizar Para Maximizar Faturamento",organizar agenda consultório odontológico,Gestão,2.4 Bad agenda management,,"Custo oculto da desorganização | Horários nobres para alto valor | Valor/hora por procedimento | Blocos de agenda | Ferramentas de agendamento | Automação de lembretes",Otimize Sua Agenda,Reorganizamos sua agenda para maximizar faturamento por hora.,Quero Agenda Otimizada
30,2026-05-06,pending,P4,marketing-endodontia-emergencia-dental,"Marketing para Endodontia: Captar Pacientes de Emergência",marketing endodontia tratamento canal,Endodontia,,,"Paciente de urgência + medo | Palavras-chave de emergência | Google Ads para urgência | Google Maps para dor | Conteúdo educativo | Conversão rápida",Capte Pacientes de Endodontia,Estratégia para aparecer quando pacientes buscam com urgência.,Marketing Para Endodontia
31,2026-05-07,pending,P1,seo-local-dentista-bairro-regiao,"SEO Hiperlocal: Como Dominar Buscas no Seu Bairro",SEO local dentista bairro,SEO,,,"'Dentista em [bairro]' converte mais | Páginas por região | Google Maps por bairro | Conteúdo localizado | Citações locais | Cases de micro-regiões",Domine as Buscas do Seu Bairro,SEO hiperlocal que posiciona você como referência na sua micro-região.,Quero SEO Hiperlocal
32,2026-05-08,pending,P5,demonstracao-resultados-dentista-marketing,"Demonstração É a Nova Publicidade: Mostre Que Você É o Melhor",demonstrar resultados dentista marketing,Posicionamento,,"Kennedy Wealth Magnet 11: Demonstration","'Somos os melhores' não convence | Poder da demonstração | 5 formas sem violar CFO | Vídeos educativos | Dados e métricas | Cases contextualizados",Construa Sua Estratégia de Demonstração,Mostramos como demonstrar expertise de forma convincente.,Quero Demonstrar Resultados
33,2026-05-09,pending,P2,dentista-pacientes-somem-depois-primeira-consulta,"Pacientes Somem Depois da Primeira Consulta? Como Trazê-los de Volta",paciente some depois primeira consulta,Retenção,3.1 Patients disappearing,,"Custo de adquirir vs. reter | 5 razões que não voltam | Sistema de reativação | WhatsApp automático semestral | Programa VIP | Follow-up pós-tratamento",Reative Seus Pacientes Inativos,Sistema de reativação que traz pacientes de volta automaticamente.,Quero Reativar Pacientes
34,2026-05-10,pending,P3,google-ads-dentista-erros-que-desperdicam-dinheiro,"8 Erros em Google Ads Que Desperdiçam R$3.000/Mês",Google Ads dentista erros dinheiro,Ads,,,"Sem palavras-chave negativas | Landing page genérica | Sem extensões | Sem separar campanhas | Orçamento espalhado | Sem rastrear conversões | Copiar concorrente | Desistir cedo",Auditoria de Google Ads,Encontramos onde seus anúncios estão desperdiçando dinheiro.,Auditoria Gratuita de Ads
35,2026-05-11,pending,P4,marketing-periodontia-educar-pacientes,"Marketing para Periodontia: Educar Pacientes Que Não Sabem Que Precisam",marketing periodontia pacientes,Periodontia,,,"50% dos adultos têm doença periodontal | Conteúdo educativo como funil | SEO para sintomas | Parcerias com clínicos gerais | Consulta em tratamento recorrente | Receita recorrente",Estratégia Para Periodontia,Captação de pacientes para periodontia através de educação digital.,Marketing Para Periodontia
36,2026-05-12,pending,P1,meta-ads-dentista-facebook-instagram,"Meta Ads Para Dentistas: Campanhas no Facebook e Instagram",Facebook Ads Instagram Ads dentista,Ads,,,"Quando usar Meta vs. Google | Estrutura de campanha | Criativos respeitando CFO | Segmentação e lookalike | Retargeting | Orçamento por especialidade",Campanhas de Meta Ads,Criamos campanhas no Facebook e Instagram que geram pacientes reais.,Quero Meta Ads
37,2026-05-13,pending,P2,dentista-cobrar-mais-sem-perder-pacientes,"Como Cobrar Mais Sem Perder Pacientes: Precificação Para Dentistas",dentista cobrar mais precificação,Gestão,2.1 Underpricing,,"Medo de cobrar | Precificação por valor vs. custo | Aumentar preço gradualmente | Comunicação de valor | Pacotes e bundles | Financiamento como ferramenta",Reposicione Seu Preço,Estratégia de precificação que aumenta ticket sem perder pacientes.,Quero Cobrar Mais
38,2026-05-14,pending,P5,escassez-urgencia-consultorio-odontologico,"Escassez e Urgência Ética: Exclusividade Para Lotar Sua Agenda",escassez urgência marketing dentista,Estratégia,,"Hormozi: Scarcity, Urgency, Guarantees","Psicologia da escassez | Escassez real vs. fabricada | Exclusividade territorial | Vagas limitadas | Promoções com deadline | Comunicar sem parecer desespero",Aplique Escassez Ética,Modelo de exclusividade territorial que gera urgência genuína.,Verificar Disponibilidade
39,2026-05-15,pending,P3,chatgpt-recomendando-dentistas-como-aparecer,"ChatGPT Está Recomendando Dentistas — Você Está Entre Eles?",ChatGPT recomenda dentista como aparecer,GEO,,,"Teste: pergunte ao ChatGPT | Como ChatGPT escolhe | Fatores que influenciam | 3 ações para ser citado em 60 dias | Schema markup | Futuro: 40% das buscas por IA",Apareça em Respostas de IA,Otimizamos sua presença para ser recomendado por ChatGPT e Gemini.,Diagnóstico de IA
40,2026-05-16,pending,P1,email-marketing-dentista-reativacao-pacientes,"E-mail Marketing Para Dentistas: Reativar Pacientes e Gerar Retorno",email marketing dentista reativação,Retenção,4.4 No reactivation campaigns,,"E-mail ainda funciona | Segmentação | Sequência de reativação 5 e-mails | Newsletter mensal | Automação semestral | Templates prontos",Reative Sua Base de Pacientes,E-mail automatizado que traz pacientes de volta sem esforço.,Quero Reativação Automática
41,2026-05-17,pending,P4,marketing-harmonizacao-orofacial-captar-pacientes,"Marketing para Harmonização Orofacial: Pacientes de Estética Premium",marketing harmonização orofacial,Estética,Step C — Premium Funnel HOF,,"Mercado de HOF no Brasil | Posicionamento: natural vs. exagero | Perfil do paciente | Conteúdo visual no Instagram | Google Ads para HOF | Simulação digital | Upsell",Estratégia Para Harmonização,Captação de pacientes para harmonização orofacial premium.,Marketing Para HOF
42,2026-05-18,pending,P2,dentista-burnout-trabalho-demais-como-resolver,"Burnout no Consultório: Trabalhar Menos e Faturar Mais",dentista burnout trabalhar menos faturar mais,Gestão,6. Constant stress and burnout,"Hormozi: Reducing Effort & Sacrifice","Epidemia de burnout | Trabalhar mais não é resposta | Mais procedimentos de alto valor | Automação | Delegação e treinamento | Modelo: 4 dias/semana premium | Case real",Redesenhe Sua Operação,Consultoria para trabalhar menos horas com mais faturamento.,Quero Trabalhar Menos
43,2026-05-19,pending,P1,crm-dentista-gestao-pacientes-leads,"CRM Para Dentistas: Gerenciar Leads e Pacientes Sem Perder Nenhum",CRM dentista gestão pacientes,Ferramentas,2.4 No CRM,,"O que é CRM | 3 funções essenciais | CRMs recomendados | Pipeline de leads | Automação | Métricas no dashboard",Implemente CRM,Sistema de CRM configurado para consultórios odontológicos.,Quero CRM no Consultório
44,2026-05-20,pending,P5,atracao-riqueza-dentista-mentalidade-crescimento,"Mentalidade de Abundância: O Que Separa Dentistas de R$50k e R$200k/Mês",dentista mentalidade crescimento faturamento,Mentalidade,,"Kennedy Wealth Magnet 2: Belief in Abundance","Escassez vs. abundância | Por que talentosos ficam presos | Pare de comprar narrativas negativas | Como os de sucesso pensam | Investir em crescimento | 5 mudanças de mentalidade",Desbloqueie Seu Crescimento,Diagnóstico que mostra o potencial de faturamento do seu consultório.,Desbloquear Crescimento
45,2026-05-21,pending,P2,dentista-branding-marca-premium,"Branding Para Dentistas: Marca Que Cobra Premium e Atrai Valor",branding dentista marca premium,Posicionamento,1.1 Lack of brand identity,,"Ter logo vs. ter marca | Visual que transmite premium | Tom de voz | Consistência multi-canal | Case: rebranding +40% ticket | 8 elementos de marca forte",Eleve Sua Marca,Construímos marcas odontológicas que justificam preço premium.,Quero Marca Premium
46,2026-05-22,pending,P3,tiktok-reels-dentista-vale-a-pena,"TikTok e Reels Para Dentistas: Vale a Pena?",TikTok Reels dentista,Redes Sociais,,,"Pacientes jovens usam TikTok | O que funciona | O que CFO proíbe | Formatos com engajamento | Frequência | ROI: traz pacientes?",Estratégia de Vídeo,Criamos conteúdo de vídeo curto que atrai pacientes — dentro do CFO.,Quero Vídeos
47,2026-05-23,pending,P4,marketing-protese-dentaria-pacientes-idosos,"Marketing para Prótese Dentária: Alcançar Pacientes de Reabilitação",marketing prótese dentária reabilitação oral,Prótese,,,"Perfil do paciente: necessidade + vergonha | Linguagem empática | Google Ads para reabilitação | Conteúdo educativo | Google Maps | Financiamento",Capte Pacientes de Prótese,Estratégia de captação para prótese e reabilitação oral.,Marketing Para Prótese
48,2026-05-24,pending,P1,schema-markup-dentista-seo-tecnico,"Schema Markup Para Dentistas: O SEO Técnico Que 95% Ignoram",schema markup dentista SEO técnico,SEO,,,"O que é schema e por que Google ama | 5 schemas essenciais | LocalBusiness/Dentist | FAQPage | HowTo | Review schema | Ferramentas de validação",Implemente Schema No Seu Site,Schema markup configurado por especialistas em SEO odontológico.,Quero Schema Markup
49,2026-05-25,pending,P5,leads-estranhos-dentista-como-atrair,"Como Fazer Estranhos Quererem Agendar Com Você",captação pacientes odontológicos estratégia,Captação,,"Hormozi $100M Leads: Core 4","4 métodos fundamentais | Warm outreach | Cold outreach | Content | Paid ads | Escolher o método certo | Combinar múltiplos canais",Monte Sua Estratégia de Captação,Os 4 métodos de captação aplicados à odontologia.,Quero Captação Completa
50,2026-05-26,pending,P2,script-venda-consultorio-dentista,"Script de Venda: Como Sua Equipe Pode Converter 2x Mais",script venda consultório dentista,Conversão,2.3 No scripts,,"Improviso mata vendas | Script WhatsApp | Script telefone | Script follow-up | Script objeções | Treinar sem ser robótico | Templates para download",Scripts Para Sua Equipe,Scripts de venda testados e prontos para sua recepção usar.,Quero Scripts Prontos
51,2026-05-27,pending,P3,dados-mercado-odontologico-brasil-2025,"Mercado Odontológico Brasileiro em 2025: Dados e Oportunidades",mercado odontológico Brasil 2025 dados,Dados,,,"Número de dentistas no Brasil | Faturamento por especialidade | Cidades: demanda vs. oferta | Procedimentos mais buscados | Tendências de preço | Oportunidades inexploradas",Análise do Mercado Na Sua Região,Dados de mercado específicos para sua cidade e especialidade.,Análise de Mercado
52,2026-05-28,pending,P1,como-medir-resultados-marketing-dentista,"Medir Resultados do Marketing: As 7 Métricas Que Importam",medir resultados marketing dentista métricas,Dados,2.5 Poor tracking,,"Curtidas não pagam contas | CPL | Taxa de conversão | Show rate | Custo por paciente | Ticket médio | LTV | ROI por canal",Dashboard de Métricas,Configuramos um dashboard com as métricas que realmente importam.,Quero Meu Dashboard
53,2026-05-29,pending,P4,marketing-clinica-odontologica-multiespecialidade,"Marketing Para Clínicas Multidisciplinares: Sem Diluir a Mensagem",marketing clínica odontológica multiespecialidade,Estratégia,,,"Promover tudo = promover nada | Serviço âncora | Páginas por especialidade | Campanhas separadas | Cross-sell inteligente | Google Maps multi",Estratégia Para Clínica Multi,Marketing estruturado para clínicas com múltiplas especialidades.,Quero Estratégia Multi
54,2026-05-30,pending,P5,garantias-consultorio-odontologico-confianca,"Garantias Que Vendem: Remover Medo e Aumentar Conversão",garantia consultório odontológico conversão,Conversão,,"Hormozi: Guarantees","Medo é maior que desejo | Tipos de garantia para odontologia | Satisfação com planejamento | Garantia condicional | Pós-operatório assistido | Comunicar sem prometer resultado (CFO) | Impacto na conversão",Implemente Garantias Inteligentes,Garantias que aumentam conversão sem risco regulatório.,Quero Garantias
55,2026-05-31,pending,P2,dentista-equipe-nao-funciona-como-resolver,"Sua Equipe Não Funciona? Como Alinhar Para Crescer",equipe consultório odontológico treinamento,Gestão,3.2 Staff not following scripts,,"Equipe desalinhada e faturamento | Recepção: gargalo #1 | Scripts e protocolos | Reuniões de 15 minutos | Métricas por pessoa | Accountability sem conflito",Alinhe Sua Equipe,Treinamento e scripts para recepção e assistentes.,Quero Equipe Alinhada
56,2026-06-01,pending,P1,google-ads-vs-seo-dentista-qual-melhor,"Google Ads vs. SEO Para Dentistas: Qual Investir Primeiro?",Google Ads vs SEO dentista,Estratégia,,,"Depende do momento | Ads: resultado rápido custo contínuo | SEO: resultado demorado retorno crescente | Comparação por especialidade | Cenário ideal: ambos | Dividir orçamento | Timeline realista",Estratégia Combinada,Ads + SEO trabalhando juntos para máximo retorno.,Quero Ads + SEO
57,2026-06-02,pending,P3,perplexity-gemini-dentista-como-aparecer,"Perplexity e Gemini: As Novas Buscas de IA Para Dentistas",Perplexity Gemini dentista IA busca,GEO,,,"Além do Google | Como funciona cada plataforma | Diferenças entre IAs | Otimizando para Perplexity | Otimizando para Gemini | Checklist: 5 ações",Presença em Todas as IAs,Otimização para todas as plataformas de busca por IA.,Quero Presença em IA
58,2026-06-03,pending,P5,dentista-falar-linguagem-dinheiro,"Fale a Linguagem do Dinheiro: Como Dentistas de Sucesso Pensam",dentista investimento marketing retorno,Mentalidade,,"Kennedy Wealth Magnet 7: Speak Money","Linguagem que separa quem cresce | De custo para investimento | De gastar para ROI | Valor do paciente em 5 anos | A conta antes de investir | Mentalidade de investidor",Pense Como Investidor,Diagnóstico com projeção de ROI para seu consultório.,Quero Projeção de ROI
59,2026-06-04,pending,P2,pacientes-so-querem-preco-como-lidar,"Pacientes Só Perguntam Preço? Como Mudar Para Valor",paciente pergunta preço dentista,Conversão,2.2 Leads looking for quotes / 1.1 Prices challenged,,"Por que perguntam preço | Erro: responder com número | Técnica de redirecionamento | Script para WhatsApp | Pré-qualificar na landing page | Posicionamento que atrai qualidade",Converta Leads de Preço,Scripts que transformam perguntas de preço em agendamentos.,Quero Converter Leads
60,2026-06-05,pending,P4,marketing-dentista-clinico-geral,"Marketing Para Dentista Clínico Geral: Competir Quando Todos São Iguais",marketing dentista clínico geral diferenciação,Clínico Geral,,,"Desafio: parecer 'mais do mesmo' | Diferenciação | SEO local para buscas genéricas | Google Maps como arma | Conteúdo mostrando expertise | Cross-referral com especialistas",Diferencie Sua Clínica Geral,Posicionamento que diferencia seu consultório da concorrência.,Quero Me Diferenciar
61,2026-06-06,pending,P1,automacao-marketing-dentista-ferramentas,"Automação de Marketing: 5 Ferramentas Que Trabalham Por Você",automação marketing dentista ferramentas,Ferramentas,2.4 Manual processes,,"Marketing sem intervenção | WhatsApp API + chatbot | Google Meu Negócio auto-posts | E-mail automatizado | CRM com pipeline | Agendamento online | Integrar tudo",Automatize Seu Marketing,5 automações implementadas para seu consultório.,Quero Automação
62,2026-06-07,pending,P3,marketing-saude-digital-brasil-regulamentacao,"Marketing Digital Para Saúde no Brasil: Regulamentação e Oportunidades",marketing digital saúde Brasil regulamentação,Compliance,,,"Cenário regulatório | CFO vs. CFM | LGPD e dados de pacientes | Ética na publicidade | O que outros países fazem | Oportunidades dentro das regras",Marketing Ético e Efetivo,Estratégia em conformidade com todas as regulamentações.,Quero Conformidade
